Name,Date
Manlius,06/04/1900
Mannsville,07/01/1903
Marathon,02/01/1901
Marcellus,10/15/1900
Marcy,01/01/1902
Marietta,11/01/1904
Marilla,09/02/1901
Marion,10/01/1901
Marlboro,07/01/1903
Martinsville,11/15/1901
Martville,02/02/1903
Massena,10/01/1901
Mayfield,07/01/1903
Maynard,09/01/1903
Mayville,09/15/1902
McGraw,11/01/1900
Mechanicsville,10/01/1903
Medina,05/01/1902
Melrose,08/01/1902
Memphis,02/15/1901
Mexico,07/01/1902
Middleport,05/01/1900
Middlesex,07/01/1902
Middletown,02/01/1904
Millbrook,10/01/1903
Millerton,10/01/1903
Milton,10/01/1902
Mohawk,11/01/1900
Moira,07/01/1904
Monsey,04/15/1904
Montgomery,10/15/1903
Montour Falls,03/02/1903
Mooers,03/01/1902
Mooers Forks,03/01/1902
Moravia,02/01/1902
Morganville,07/01/1902
Morrisonville,11/01/1902
Morristown,12/01/1898
Morrisville,12/15/1903
Morton,09/15/1903
Moscow,03/01/1902
Mount Kisco,09/01/1902
Mount Morris,03/01/1902
Mount Vision,11/15/1904
Munnsville,10/01/1903
Naples,12/15/1900
Nassau,12/01/1902
Natural Bridge,02/01/1902
New Baltimore Station,09/15/1904
New Berlin,03/01/1901
New City,04/15/1904
New Hamburg,10/01/1903
New Hartford,07/01/1902
Newark,09/05/1899
Newburgh,07/01/1902
Newfane,11/15/1901
Newfield,11/15/1900
Newhaven,04/15/1904
Newport,07/01/1903
Nichols,01/01/1904
Nineveh,11/02/1903
Niverville,02/15/1904
Norfolk,07/15/1904
North Bangor,07/01/1903
North Clymer,09/15/1902
North Collins,01/15/1902
North Rose,07/01/1902
North Stockholm,12/15/1903
North Tonawanda,11/15/1901
Norwich,04/01/1902
Norwood,07/01/1903
Nunda,03/01/1902
Oakfield,07/01/1902
Odessa,03/02/1903
Ogdensburg,11/01/1900
Old Chatham,07/01/1902
Olean,03/02/1903
Oneida,10/01/1903
Oneonta,08/01/1902
Ontario,06/04/1900
Orchard Park,11/01/1901
Oriskany,02/01/1902
Oriskany Falls,07/01/1901
Orleans Four Corners,07/01/1903
Oswego,07/01/1902
Oswego Falls,02/01/1902
Otego,09/15/1900
Ovid,03/02/1903
Owasco,09/01/1903
Owego,07/15/1904
Oxford ,11/01/1901
Painted Post,05/01/1902
Palatine Bridge,11/01/1904
Palmyra,09/02/1901
Parish,02/01/1902
Patterson,08/01/1902
Pattersonville,03/01/1902
Pavilion,03/01/1902
Pawling,10/01/1903
Peekskill,04/01/1903
Pembroke,02/01/1902
Penfield,11/01/1900
Pennellville,05/02/1904
Penyan,03/15/1900
Perry,11/15/1900
Perrysburg,10/10/1898
Peru,04/01/1904
Phelps,09/05/1899
Philadelphia,05/02/1898
Phoenix,07/01/1903
Pierrepont Manor,07/01/1903
Pine City,09/01/1904
Pine Plains,06/02/1902
Pittsford,10/15/1900
Plattsburg,10/15/1900
Pleasant Valley,10/01/1903
Pomona,07/01/1903
Pompey,11/01/1904
Poolville,10/01/1903
Port Byron,01/01/1902
Port Chester,09/15/1899
Port Leyden,08/01/1902
Portageville,09/15/1900
Porterville,07/15/1902
Portland,02/15/1901
Portville,11/16/1903
Potsdam,07/01/1903
Poughkeepsie,08/01/1902
Poughquag,10/01/1903
Prattsburg,07/01/1901
Prattsville,09/01/1903
Pulaski,11/01/1900
Pultneyville,07/01/1902
Putnam Station,11/15/1904
Randolph,03/02/1903
Ransomville,11/15/1901
Rathbone,10/01/1902
Ravena,05/16/1904
Red Creek,07/01/1902
Red Hook,10/01/1903
Redwood,02/01/1902
Remsen,07/01/1903
Rensselaer Falls,10/15/1900
Rexford Flats,07/15/1904
Rhinebeck,10/03/1898
Richfield Springs,07/01/1903
Richford,08/15/1904
Richland,11/16/1903
Richville,10/01/1903
Ripley,12/15/1900
Riverhead,04/03/1899
Rochester Junction,01/01/1902
Rock Stream,02/02/1903
Rome,10/15/1900
Romulus,12/02/1901
Rosiere,07/01/1903
Roslyn,10/15/1903
Rush,11/01/1902
Rushville,07/01/1902
Sacket Harbor,07/01/1902
Saint Johnsville,12/01/1903
Saint Lawrence,02/15/1904
Salamanca,11/01/1900
Salem,04/15/1904
Saltpoint,07/01/1902
Sanborn,11/15/1901
Sandycreek,07/01/1903
Sandyhill,04/15/1904
Saratoga Springs,11/01/1902
Sardinia,08/01/1901
Saugerties,08/15/1900
Sauquoit,07/01/1901
Savannah,07/01/1902
Savona,07/01/1902
Schaghticoke,03/01/1902
Schenectady,09/02/1901
Schodack Landing,01/01/1904
Schuylerville,10/15/1903
Scio,10/01/1903
Scottsville,11/01/1902
Seely Creek,12/01/1903
Selkirk,04/02/1900
Seneca Falls,10/01/1903
Sennett,09/01/1903
Seward,11/01/1904
Sharon Springs,03/01/1904
Sherburne,03/01/1901
Sherman,09/15/1902
Shortsville,02/02/1903
Shushan,09/15/1903
Silver Creek,07/16/1900
Silver Springs,09/15/1900
Sinclairville,09/15/1902
Skaneateles,11/01/1901
Slingerlands,02/01/1902
Sloan,07/15/1904
Sodus,11/01/1900
Sodus Point,08/15/1904
Solsville,07/01/1902
South Bethlehem,11/15/1904
South Butler,07/01/1902
South Byron,02/15/1901
South Dayton,09/01/1900
South Granby,05/16/1904
South Hammond,07/15/1904
South Hammond,09/01/1904
South New Berlin,08/01/1904
South Wales,03/01/1902
Spencer,02/02/1903
Spencerport,01/02/1901
Spragueville,04/01/1902
Springville,07/15/1902
Springwater,05/01/1903
Staatsburg,09/01/1902
Stafford,01/15/1901
Stanfordville,10/01/1903
Stanley,04/16/1900
Sterling Station,09/01/1903
Stillwater,07/01/1903
Stittville,08/01/1902
Stockbridge,10/01/1903
Stormville,10/01/1903
Strykersville,11/02/1903
Swormville,05/01/1902
Syracuse,11/01/1901
Taberg,01/15/1904
Tarrytown,12/15/1904
Theresa,10/01/1900
Tiashoke,08/01/1902
Tivoli,10/01/1903
Tonawanda,05/01/1902
Townline,07/15/1902
Troupsburg,09/15/1903
Troy,08/01/1902
Trumansburg,12/15/1902
Truxton,10/01/1902
Tully,10/15/1903
Tunnel,12/01/1903
Tuscarora,03/01/1902
Union Springs,01/01/1902
Union Square,12/01/1902
Valatie,07/01/1903
Valley Falls,07/01/1902
Valois,01/15/1904
Vanetten,09/15/1903
Varysburg,11/02/1903
Verbank,10/01/1903
Vernon,10/15/1900
Vernon Center,06/01/1901
Verona,07/01/1903
Verona Station,07/01/1903
Victor,12/01/1900
Voorheesville,07/01/1903
Walden,04/01/1903
Wales Center,09/01/1904
Walton,04/15/1901
Walworth,11/01/1900
Wappingers Falls,10/01/1903
Warner,12/01/1902
Warsaw,09/15/1900
Wassaic,10/01/1903
Waterford,10/01/1903
Waterloo,03/15/1901
Waterport,09/15/1903
Watertown,05/02/1898
Waterville,04/02/1900
Watkins,01/01/1902
Waverly,07/01/1903
Wayland,07/01/1902
Wayne,01/26/1904
Wayville,06/01/1904
Webster,05/01/1900
Weedsport,11/01/1902
Wellsbridge,09/01/1904
Wellsburg,03/02/1903
Wellsville,10/15/1903
West,02/01/1904
West Albany,04/01/1901
West Berne,05/16/1904
West Bloomfield,11/15/1904
West Camden,07/01/1903
West Chazy,07/01/1901
West Coxsackie,10/15/1903
West Danby,08/01/1902
West Falls,02/02/1903
West Henrietta,08/15/1900
West Leyden,07/01/1904
West Monroe,02/01/1902
West Rush,11/01/1902
West Sand Lake,10/15/1904
West Seneca,11/01/1898
West Troy,04/01/1901
West Valley,02/15/1904
West Vienna,07/01/1903
West Webster,11/01/1902
Westbranch,01/15/1904
Westernville,09/01/1904
Westfield,10/15/1900
Whallonsburg,11/15/1904
Whitehall,09/01/1903
Whiteplains,04/16/1900
Whitesboro,03/01/1902
Whitney Crossings,05/01/1902
Williamson,07/01/1902
Williamstown,11/16/1903
Willink,10/01/1903
Willliamsville,05/01/1902
Willseyville,10/15/1903
Wilson,11/15/1901
Windham,12/01/1904
Wings Station,05/01/1902
Winthrop,07/15/1904
Wolcott,07/01/1902
Woodhull,03/01/1902
Woodville,11/01/1904
Wynantskill,09/15/1903
Wyoming,08/01/1903
Youngstown,11/15/1901
