Name,State,Date
Englewood,Colorado,07/15/1904
Fort Collins,Colorado,09/15/1900
Fort Lupton,Colorado,01/01/1904
Fort Morgan,Colorado,08/01/1902
Fruita,Colorado,04/01/1903
Golden,Colorado,08/01/1901
Granada,Colorado,07/01/1903
Grand Junction,Colorado,02/01/1902
Greeley,Colorado,07/16/1900
Harman,Colorado,05/01/1903
Henderson,Colorado,06/01/1904
Holly,Colorado,07/01/1903
Hotchkiss,Colorado,09/01/1903
La Salle ,Colorado,07/01/1901
Lajunta,Colorado,08/15/1900
Lamar,Colorado,05/16/1904
Las Animas,Colorado,10/01/1900
Littleton,Colorado,06/01/1900
Longmont,Colorado,08/15/1900
Loveland,Colorado,11/10/1896
Lucerne,Colorado,04/01/1902
Manzanola,Colorado,04/15/1904
Montclair,Colorado,10/15/1904
Montevista,Colorado,09/15/1900
Montrose,Colorado,07/01/1903
Morrison,Colorado,07/05/1899
New Windsor,Colorado,02/01/1901
Niwot,Colorado,04/01/1902
Olathe,Colorado,08/01/1904
Parachute,Colorado,11/01/1902
Pine,Colorado,02/01/1902
Platteville,Colorado,11/15/1900
Prowers,Colorado,09/15/1904
Pueblo,Colorado,02/15/1901
Rockyford,Colorado,09/15/1900
Trinidad,Colorado,12/01/1903
Andover,Connecticut,07/01/1902
Avon,Connecticut,02/02/1903
Baltic,Connecticut,09/01/1903
Berlin,Connecticut,06/02/1902
Bethel,Connecticut,03/01/1900
Bethlehem,Connecticut,09/15/1903
Bloomfield,Connecticut,09/01/1900
Branford,Connecticut,06/01/1898
Bridgeport,Connecticut,05/14/1900
Bridgewater,Connecticut,05/02/1904
Bristol,Connecticut,12/15/1900
Brookfield,Connecticut,02/01/1901
Brookfield Center,Connecticut,02/01/1901
Cheshire,Connecticut,09/02/1901
Clinton,Connecticut,09/02/1901
Clintonville,Connecticut,01/01/1902
Colchester,Connecticut,09/02/1901
Collinsville,Connecticut,09/01/1903
Columbia,Connecticut,08/01/1902
Coscob,Connecticut,04/15/1901
Cromwell,Connecticut,04/02/1900
Danbury,Connecticut,01/15/1901
Darien,Connecticut,04/15/1901
Deepriver,Connecticut,11/01/1904
Eagleville,Connecticut,12/15/1900
East Granby,Connecticut,09/15/1903
East Haddam,Connecticut,11/15/1904
East Hampton,Connecticut,07/01/1902
East Haven,Connecticut,08/01/1902
Ellington,Connecticut,08/01/1902
Fairfield,Connecticut,12/15/1900
Falls Village,Connecticut,05/01/1902
Farmington,Connecticut,08/01/1902
Forestville,Connecticut,07/01/1901
Gales Ferry,Connecticut,08/01/1903
Gaylordsville,Connecticut,02/01/1902
Georgetown,Connecticut,02/01/1901
Glastonbury,Connecticut,10/01/1904
Granby,Connecticut,02/02/1903
Greenwich,Connecticut,02/01/1901
Groton,Connecticut,11/01/1902
Guilford,Connecticut,06/01/1898
Hamden,Connecticut,10/01/1902
Hampton,Connecticut,11/01/1904
Hawleyville,Connecticut,02/01/1901
Hazardville,Connecticut,09/15/1903
Higganum,Connecticut,09/02/1901
Hotchkissville,Connecticut,03/01/1902
Kensington,Connecticut,10/01/1901
Kent ,Connecticut,02/02/1903
Lebanon,Connecticut,07/01/1902
Leonard Bridge,Connecticut,09/02/1901
Lyme,Connecticut,03/01/1902
Madison,Connecticut,07/05/1899
Mansfield Center,Connecticut,12/15/1900
Middletown,Connecticut,08/15/1900
Milford,Connecticut,06/01/1898
Mystic,Connecticut,11/01/1902
Naugatuck,Connecticut,09/01/1900
New Britain,Connecticut,01/01/1902
New Canaan,Connecticut,07/05/1899
New Milford,Connecticut,09/01/1902
New Preston,Connecticut,04/01/1902
Newtown,Connecticut,12/15/1900
Norfolk,Connecticut,05/16/1899
North Franklin,Connecticut,07/01/1902
North Haven,Connecticut,12/15/1900
Northford,Connecticut,01/01/1902
Norwalk,Connecticut,12/04/1899
Norwich,Connecticut,04/01/1901
Norwichtown,Connecticut,09/02/1901
Oakdale,Connecticut,02/01/1904
Orange,Connecticut,07/01/1902
Plainville,Connecticut,05/01/1902
Plantsville,Connecticut,07/01/1902
Portland,Connecticut,08/01/1901
Putnam,Connecticut,06/01/1901
Ridgefield,Connecticut,02/01/1901
Riverside,Connecticut,03/15/1901
Rockville,Connecticut,05/01/1901
Roxbury,Connecticut,07/15/1904
Sandy Hook,Connecticut,02/01/1901
Seymour,Connecticut,07/01/1902
Shelton,Connecticut,12/15/1900
Simsbury,Connecticut,09/01/1903
Somers,Connecticut,11/01/1904
South Coventry,Connecticut,01/01/1902
South Glastonbury,Connecticut,04/15/1904
South Kent,Connecticut,02/02/1903
South Manchester,Connecticut,08/01/1902
South Norwalk,Connecticut,01/15/1901
Southbury,Connecticut,10/01/1902
Southington,Connecticut,07/01/1901
Southport,Connecticut,02/01/1901
Stamford,Connecticut,03/15/1901
Stepney Depot,Connecticut,12/15/1901
Stonington,Connecticut,08/01/1903
Stratford,Connecticut,12/15/1901
Suffield,Connecticut,12/15/1900
Terryville,Connecticut,02/01/1902
Thomaston,Connecticut,02/02/1903
Thompsonville,Connecticut,10/15/1904
Torrington,Connecticut,04/01/1902
Turnerville,Connecticut,04/01/1902
Uncasville,Connecticut,08/01/1903
Unionville,Connecticut,10/01/1901
Wallingford,Connecticut,08/15/1900
Warehouse Point,Connecticut,05/02/1904
Washington,Connecticut,02/02/1903
Washington Depot,Connecticut,09/15/1903
Waterbury,Connecticut,12/15/1900
Waterford,Connecticut,11/01/1904
Watertown,Connecticut,09/15/1903
West Cheshire,Connecticut,09/02/1901
West Cornwall,Connecticut,02/02/1903
West Hartford,Connecticut,04/16/1900
West Haven,Connecticut,07/01/1902
Westport,Connecticut,12/15/1900
Westville,Connecticut,04/16/1900
Wethersfield,Connecticut,04/15/1904
Willimantic,Connecticut,04/16/1900
Wilton,Connecticut,04/15/1901
Windsor,Connecticut,01/01/1902
Winsted,Connecticut,04/01/1902
Woodbury,Connecticut,03/01/1902
Yantic,Connecticut,07/01/1902
Bridgeville,Delaware,06/11/1900
Cheswold,Delaware,04/01/1902
Clayton,Delaware,04/01/1902
Dagsboro,Delaware,10/01/1902
Delmar,Delaware,03/01/1900
Dover,Delaware,04/01/1902
Edgemoor,Delaware,04/01/1904
Ellendale,Delaware,03/02/1903
Farmington,Delaware,06/18/1900
Felton,Delaware,04/01/1902
Frankford,Delaware,10/01/1902
Georgetown,Delaware,10/01/1902
Greenwood,Delaware,07/01/1902
Harbeson,Delaware,03/01/1904
Harrington,Delaware,10/03/1898
Hartley,Delaware,04/01/1902
Hockessin,Delaware,07/01/1902
Houston Station,Delaware,05/16/1904
Kenton,Delaware,04/01/1902
Laurel,Delaware,11/01/1898
Lewes,Delaware,03/01/1904
Lincoln,Delaware,03/02/1903
Marshallton,Delaware,11/01/1898
Milford,Delaware,04/01/1902
Millsboro,Delaware,10/01/1902
Milton,Delaware,03/01/1904
Newark,Delaware,07/16/1900
Newcastle,Delaware,07/01/1902
Oakgrove,Delaware,09/01/1903
Porters,Delaware,04/01/1904
Seaford,Delaware,07/01/1902
Selbyville,Delaware,03/01/1904
Selbyville,Delaware,09/01/1904
Smyrna,Delaware,02/15/1899
Townsend,Delaware,08/15/1900
Wyoming,Delaware,04/01/1902
Anacostia,District Of Columbia,09/01/1902
Bennings,District Of Columbia,09/01/1902
Aucilla,Florida,10/15/1904
Cantonment,Florida,07/01/1902
Fort White,Florida,05/02/1904
Jacksonville,Florida,09/01/1903
Jasper,Florida,10/15/1904
Jennings,Florida,09/01/1903
Lake City,Florida,10/01/1903
Lulu,Florida,11/01/1904
Pensacola,Florida,06/01/1904
Plant City,Florida,09/01/1903
Quincy,Florida,07/01/1902
Sanibel,Florida,04/02/1900
South Jacksonville,Florida,09/01/1903
Tampa,Florida,07/01/1903
Wellborn,Florida,06/01/1904
Winterpark,Florida,01/01/1898
Abbeville,Georgia,10/01/1902
Acworth,Georgia,11/15/1902
Adairsville,Georgia,09/02/1901
Adel,Georgia,08/01/1901
Adrian,Georgia,12/01/1904
Ailey,Georgia,03/02/1903
Albany,Georgia,04/16/1900
Allentown,Georgia,06/01/1904
Americus,Georgia,12/01/1901
Aragon,Georgia,04/01/1904
Arlington,Georgia,02/02/1903
Armuchee,Georgia,09/15/1903
Arnoldsville,Georgia,11/02/1903
Ashburn,Georgia,12/15/1903
Athens ,Georgia,02/01/1899
Atlanta,Georgia,05/01/1903
Atlanta Heights,Georgia,03/02/1903
Auburn,Georgia,09/01/1903
Augusta,Georgia,07/01/1901
Austell,Georgia,11/15/1902
Avalon,Georgia,07/01/1902
Avera,Georgia,07/15/1904
Baconton,Georgia,05/01/1903
Bainbridge,Georgia,04/16/1900
Bairdstown,Georgia,07/15/1904
Ballground,Georgia,04/15/1904
Banning,Georgia,12/15/1903
Barnesville,Georgia,07/01/1902
Barney,Georgia,11/15/1904
Bartow,Georgia,05/01/1902
Berner,Georgia,06/15/1904
Bethlehem ,Georgia,05/01/1901
Blakely,Georgia,08/01/1901
Blitch,Georgia,06/01/1904
Bluffton ,Georgia,12/01/1902
Blythe,Georgia,05/16/1904
Bogart,Georgia,05/01/1903
Bolingbroke,Georgia,12/01/1904
Bolton,Georgia,05/01/1903
Bonaire,Georgia,09/01/1902
Boston,Georgia,08/01/1901
Bowdon,Georgia,11/01/1904
Bowersville,Georgia,05/01/1901
Bowman,Georgia,11/02/1903
Boxspring,Georgia,02/02/1903
Bremen,Georgia,10/01/1903
Bronwood,Georgia,04/01/1901
Brooks Station,Georgia,12/01/1904
Brunswick,Georgia,03/02/1903
Buchanan,Georgia,10/01/1903
Buckhead,Georgia,12/01/1904
Buena Vista,Georgia,11/01/1901
Buford,Georgia,08/01/1901
Bullochville,Georgia,02/02/1903
Byron,Georgia,09/01/1902
Cairo,Georgia,04/16/1900
Calhoun,Georgia,08/01/1902
Camilla,Georgia,08/15/1900
Campton,Georgia,07/01/1901
Canon,Georgia,06/11/1900
Canton,Georgia,09/15/1904
Carlton,Georgia,12/01/1904
Carnesville,Georgia,04/01/1904
Carrollton,Georgia,01/01/1902
Carrs Station,Georgia,12/01/1902
Cartersville,Georgia,10/01/1901
Cass Station,Georgia,05/02/1904
Cataula,Georgia,02/02/1903
Cavespring,Georgia,09/15/1903
Cedartown,Georgia,11/01/1902
Chalker,Georgia,10/01/1904
Chamblee ,Georgia,03/02/1903
Chester,Georgia,09/01/1904
Chickamauga,Georgia,09/01/1904
Chipley,Georgia,02/02/1903
Clem,Georgia,11/02/1903
Climax,Georgia,12/01/1902
Cochran,Georgia,11/01/1901
Colbert,Georgia,05/01/1903
Coleman,Georgia,08/01/1901
Collegepark,Georgia,05/01/1903
Colquitt,Georgia,12/01/1902
Columbus,Georgia,03/01/1902
Comer,Georgia,05/01/1903
Conley,Georgia,09/15/1903
Conyers,Georgia,10/15/1900
Coosa,Georgia,09/15/1903
Cordele,Georgia,04/01/1904
Cornelia,Georgia,10/15/1904
Covington,Georgia,04/15/1902
Crawford,Georgia,02/01/1902
Crawfordville,Georgia,06/02/1902
Culloden,Georgia,04/15/1904
Culverton,Georgia,10/15/1904
Cumming,Georgia,11/02/1903
Curryville,Georgia,05/16/1904
Cusseta ,Georgia,09/01/1902
Cuthbert,Georgia,04/16/1900
Dacula,Georgia,11/01/1901
Daisy,Georgia,05/16/1904
Dallas,Georgia,05/01/1902
Dalton,Georgia,05/16/1904
Danielsville,Georgia,11/02/1903
Danville,Georgia,04/15/1904
Darien,Georgia,11/01/1904
Dawson,Georgia,04/02/1900
Dawsonville,Georgia,04/15/1904
Dearing,Georgia,03/02/1903
Decatur,Georgia,05/01/1901
Deepstep,Georgia,11/01/1904
Devereux,Georgia,12/01/1902
Deweyrose,Georgia,11/02/1903
Dexter,Georgia,01/01/1902
Dickey,Georgia,12/01/1902
Dixie,Georgia,03/02/1903
Doerun,Georgia,09/15/1903
Doraville,Georgia,03/02/1903
Douglasville,Georgia,07/01/1902
Dover,Georgia,11/15/1904
Dowdy,Georgia,05/01/1903
Draketown,Georgia,04/15/1904
Dranesville,Georgia,12/15/1903
Drybranch,Georgia,01/15/1904
Dublin,Georgia,10/01/1900
Dudly,Georgia,08/01/1904
Duluth,Georgia,08/01/1904
Dunwoody,Georgia,11/01/1904
Eastanollee,Georgia,12/01/1903
Eastman,Georgia,02/01/1902
Eatonton,Georgia,02/01/1902
Edison,Georgia,05/16/1904
Elberton,Georgia,06/04/1900
Elko,Georgia,04/15/1904
Ellaville,Georgia,11/01/1901
Ellenwood,Georgia,09/02/1901
Ellerslie,Georgia,11/02/1903
Empire,Georgia,09/15/1904
Fairburn,Georgia,10/01/1902
Faircloth,Georgia,10/01/1903
Fairmount,Georgia,12/01/1904
Farmington,Georgia,05/01/1903
Farrar,Georgia,10/01/1904
